itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
9208,90736.2396,9.8524,0.6135,0.5193,576.0,18.0000,3.1939,5.1112,4.3099
9209,90746.2474,10.0078,0.6151,0.5214,576.0,18.0000,3.3052,5.0848,4.2843
9210,90756.0317,9.7843,0.6162,0.5213,576.0,18.0000,3.2032,5.1673,4.3148
9211,90765.8102,9.7785,0.6041,0.5094,576.0,18.0000,2.9549,5.1619,4.3063
9212,90775.7180,9.9078,0.6075,0.5123,576.0,18.0000,3.0951,5.1777,4.3354
9213,90785.6014,9.8834,0.6182,0.5231,576.0,18.0000,3.7162,5.1825,4.3312
9214,90795.5233,9.9219,0.6222,0.5288,576.0,18.0000,4.1467,5.0922,4.2542
9215,90805.3462,9.8229,0.6151,0.5206,576.0,18.0000,4.0981,5.1417,4.3153
9216,90815.1058,9.7595,0.6138,0.5191,576.0,18.0000,3.8395,5.1507,4.3230
9217,90824.9948,9.8890,0.6138,0.5200,576.0,18.0000,3.3415,5.1135,4.2657
9218,90834.8412,9.8464,0.6177,0.5222,576.0,18.0000,3.4660,5.1815,4.3631
9219,90844.8316,9.9904,0.5994,0.5056,576.0,18.0000,4.2842,5.0697,4.3049
9220,90854.5533,9.7217,0.6303,0.5365,576.0,18.0000,4.8039,5.0975,4.2841
9221,90864.4764,9.9231,0.6095,0.5149,576.0,18.0000,4.3616,5.1288,4.3265
9222,90874.4072,9.9308,0.6180,0.5235,576.0,18.0000,3.3166,5.1339,4.3180
9223,90884.2399,9.8327,0.6145,0.5202,576.0,18.0000,3.0630,5.1188,4.3057
9224,90894.1502,9.9103,0.6133,0.5191,576.0,18.0000,3.6875,5.1209,4.3015
9225,90903.8904,9.7401,0.6169,0.5222,576.0,18.0000,3.9870,5.1356,4.3257
9226,90913.8921,10.0017,0.6125,0.5186,576.0,18.0000,4.1213,5.1041,4.2880
9227,90923.6426,9.7505,0.6194,0.5248,576.0,18.0000,4.6534,5.1375,4.3299
9228,90933.4497,9.8071,0.6102,0.5162,576.0,18.0000,4.4813,5.0864,4.3079
9229,90943.3221,9.8724,0.6104,0.5166,576.0,18.0000,3.9737,5.0897,4.2865
9230,90953.2676,9.9456,0.6108,0.5159,576.0,18.0000,4.2681,5.1317,4.3568
9231,90963.1778,9.9102,0.6154,0.5216,576.0,18.0000,5.0772,5.1090,4.2734
9232,90973.0475,9.8697,0.6153,0.5216,576.0,18.0000,4.8752,5.0796,4.2860
9233,90982.8835,9.8359,0.6092,0.5147,576.0,18.0000,4.1162,5.1212,4.3309
9234,90992.7334,9.8499,0.6164,0.5226,576.0,18.0000,4.6500,5.0881,4.2924
9235,91002.6114,9.8780,0.6227,0.5288,576.0,18.0000,5.4119,5.1080,4.2848
9236,91012.3695,9.7582,0.6275,0.5338,576.0,18.0000,5.0215,5.0560,4.3160
9237,91022.1347,9.7652,0.6133,0.5194,576.0,18.0000,3.9572,5.0945,4.2926
9238,91032.0243,9.8896,0.6115,0.5172,576.0,18.0000,2.8550,5.1151,4.3109
9239,91041.9821,9.9578,0.6182,0.5247,576.0,18.0000,3.3406,5.0514,4.2959
9240,91051.6744,9.6923,0.6021,0.5074,576.0,18.0000,3.6649,5.1454,4.3248
9241,91061.6764,10.0020,0.6114,0.5170,576.0,18.0000,3.2764,5.1362,4.3079
9242,91071.3749,9.6985,0.6072,0.5130,576.0,18.0000,2.9579,5.1011,4.3199
9243,91081.2195,9.8446,0.6111,0.5164,576.0,18.0000,2.9943,5.1536,4.3131
9244,91091.0812,9.8617,0.6108,0.5165,576.0,18.0000,3.4342,5.1334,4.2966
9245,91100.9422,9.8610,0.6120,0.5174,576.0,18.0000,3.5030,5.1408,4.3125
9246,91110.9265,9.9842,0.6084,0.5133,576.0,18.0000,3.4385,5.1648,4.3445
9247,91120.4020,9.4756,0.6102,0.5169,576.0,18.0000,3.5415,5.0545,4.2757
9248,91130.1748,9.7727,0.5969,0.5023,576.0,18.0000,4.2046,5.1317,4.3347
9249,91140.1152,9.9404,0.6183,0.5234,576.0,18.0000,4.7320,5.1548,4.3326
9250,91150.0314,9.9162,0.6180,0.5245,576.0,18.0000,4.5992,5.0841,4.2643
9251,91159.8686,9.8372,0.6140,0.5191,576.0,18.0000,4.1584,5.1589,4.3262
9252,91169.8369,9.9682,0.6075,0.5124,576.0,18.0000,3.6158,5.1676,4.3380
9253,91179.1047,9.2678,0.6127,0.5190,576.0,18.0000,3.2847,5.0788,4.2896
9254,91188.9501,9.8455,0.6038,0.5094,576.0,18.0000,3.0594,5.1182,4.3289
9255,91198.6029,9.6528,0.6178,0.5229,576.0,18.0000,3.6303,5.1492,4.3361
9256,91208.6366,10.0337,0.6051,0.5121,576.0,18.0000,4.1999,5.0373,4.2690
9257,91218.4359,9.7993,0.6135,0.5191,576.0,18.0000,4.3278,5.1257,4.3211
9258,91228.3694,9.9335,0.6249,0.5297,576.0,18.0000,4.3255,5.1668,4.3483
9259,91238.2936,9.9243,0.6169,0.5239,576.0,18.0000,3.7807,5.0399,4.2556
9260,91248.1207,9.8270,0.5937,0.4996,576.0,18.0000,3.3091,5.0726,4.3426
9261,91258.0190,9.8983,0.6244,0.5297,576.0,18.0000,4.2243,5.1434,4.3241
9262,91267.6991,9.6802,0.6130,0.5190,576.0,18.0000,5.1812,5.1070,4.2861
9263,91277.4643,9.7651,0.6176,0.5235,576.0,18.0000,5.1326,5.1080,4.3103
9264,91287.2291,9.7648,0.6144,0.5198,576.0,18.0000,4.3973,5.1418,4.3239
9265,91297.1826,9.9535,0.6136,0.5200,576.0,18.0000,3.6070,5.0766,4.2836
9266,91307.0795,9.8968,0.6093,0.5147,576.0,18.0000,2.8665,5.1202,4.3407
9267,91316.7852,9.7058,0.6257,0.5314,576.0,18.0000,3.1597,5.1323,4.2972
9268,91326.4906,9.7053,0.6129,0.5193,576.0,18.0000,3.4593,5.0839,4.2721
9269,91336.4149,9.9244,0.6132,0.5182,576.0,18.0000,3.9539,5.1414,4.3593
9270,91346.0425,9.6275,0.6080,0.5138,576.0,18.0000,3.9726,5.1158,4.3036
9271,91355.9187,9.8763,0.6200,0.5257,576.0,18.0000,3.5760,5.1409,4.2923
9272,91365.8676,9.9489,0.6096,0.5158,576.0,18.0000,3.2392,5.0701,4.3115
9273,91375.7843,9.9167,0.6143,0.5200,576.0,18.0000,3.3009,5.1283,4.3035
9274,91385.6326,9.8483,0.6065,0.5115,576.0,18.0000,3.7784,5.1764,4.3223
9275,91395.5708,9.9382,0.6172,0.5232,576.0,18.0000,4.0978,5.0972,4.3025
9276,91405.5108,9.9400,0.6157,0.5213,576.0,18.0000,3.8750,5.1227,4.3173
9277,91415.3419,9.8311,0.6214,0.5270,576.0,18.0000,3.7355,5.1326,4.3090
9278,91425.3007,9.9588,0.6127,0.5189,576.0,18.0000,3.6607,5.0893,4.2876
9279,91435.1666,9.8658,0.6100,0.5155,576.0,18.0000,3.3978,5.1024,4.3424
9280,91445.1202,9.9537,0.6135,0.5191,576.0,18.0000,3.1916,5.1376,4.3060
9281,91454.9006,9.7804,0.6058,0.5114,576.0,18.0000,3.3321,5.1415,4.3043
9282,91464.8421,9.9415,0.6154,0.5200,576.0,18.0000,3.5705,5.1947,4.3464
9283,91474.6397,9.7977,0.6151,0.5211,576.0,18.0000,4.3938,5.1027,4.3057
9284,91484.6253,9.9856,0.6190,0.5249,576.0,18.0000,4.3185,5.1192,4.2833
9285,91494.4039,9.7786,0.6126,0.5173,576.0,18.0000,4.0168,5.1847,4.3460
9286,91504.0507,9.6468,0.6126,0.5193,576.0,18.0000,4.0957,5.0495,4.2881
9287,91513.8806,9.8300,0.6081,0.5137,576.0,18.0000,4.4398,5.1218,4.3182
9288,91523.8863,10.0056,0.6248,0.5305,576.0,18.0000,4.7069,5.1219,4.3048
9289,91533.8128,9.9265,0.6121,0.5190,576.0,18.0000,4.2861,5.0287,4.2764
9290,91543.6678,9.8550,0.6195,0.5248,576.0,18.0000,3.8693,5.1408,4.3278
9291,91553.5014,9.8336,0.6248,0.5305,576.0,18.0000,4.1795,5.1310,4.2931
9292,91562.9865,9.4850,0.6124,0.5187,576.0,18.0000,4.5140,5.0796,4.2936
